time,open,high,low,close
2026-01-10 05:01:00,90.2525,90.2565,90.2235,90.2345
2026-01-10 05:02:00,90.2315,90.2365,90.2015,90.2205
2026-01-10 05:03:00,90.2225,90.2445,90.2225,90.2355
2026-01-10 05:04:00,90.2365,90.2535,90.2195,90.2315
2026-01-10 05:05:00,90.2295,90.2565,90.2285,90.2495
2026-01-10 05:06:00,90.2475,90.2645,90.2385,90.2525
2026-01-10 05:07:00,90.2515,90.2515,90.2155,90.2475
2026-01-10 05:08:00,90.2465,90.2665,90.2415,90.2495
2026-01-10 05:09:00,90.2485,90.2725,90.2455,90.2625
2026-01-10 05:10:00,90.2645,90.2795,90.2285,90.2355
2026-01-10 05:11:00,90.2335,90.2575,90.2315,90.2335
2026-01-10 05:12:00,90.2355,90.2525,90.2155,90.2365
2026-01-10 05:13:00,90.2345,90.2705,90.2305,90.2655
2026-01-10 05:14:00,90.2635,90.2715,90.2495,90.2625
2026-01-10 05:15:00,90.2615,90.2815,90.2435,90.2795
2026-01-10 05:16:00,90.2785,90.2815,90.2545,90.2605
2026-01-10 05:17:00,90.2625,90.2945,90.2595,90.2855
2026-01-10 05:18:00,90.2835,90.2875,90.2645,90.2695
2026-01-10 05:19:00,90.2725,90.2945,90.2585,90.2935
2026-01-10 05:20:00,90.2915,90.2935,90.2685,90.2815
2026-01-10 05:21:00,90.2825,90.3095,90.2775,90.2865
2026-01-10 05:22:00,90.2845,90.3075,90.2605,90.2615
2026-01-10 05:23:00,90.2625,90.2835,90.2445,90.2555
2026-01-10 05:24:00,90.2545,90.2875,90.2485,90.2645
2026-01-10 05:25:00,90.2625,90.2905,90.2625,90.2905
2026-01-10 05:26:00,90.2915,90.3425,90.2855,90.3355
2026-01-10 05:27:00,90.3325,90.3325,90.2875,90.2915
2026-01-10 05:28:00,90.2905,90.3075,90.2705,90.2775
2026-01-10 05:29:00,90.2785,90.3155,90.2645,90.3065
2026-01-10 05:30:00,90.3085,90.3305,90.3005,90.3155
2026-01-10 05:31:00,90.3165,90.3255,90.2565,90.2575
2026-01-10 05:32:00,90.2555,90.2625,90.2295,90.2515
2026-01-10 05:33:00,90.2505,90.2565,90.2235,90.2285
2026-01-10 05:34:00,90.2275,90.2335,90.2085,90.2175
2026-01-10 05:35:00,90.2195,90.2255,90.2105,90.2175
2026-01-10 05:36:00,90.2185,90.2405,90.2115,90.2265
2026-01-10 05:37:00,90.2275,90.2425,90.2225,90.2355
2026-01-10 05:38:00,90.2345,90.2585,90.2325,90.2495
2026-01-10 05:39:00,90.2485,90.2675,90.2415,90.2455
2026-01-10 05:40:00,90.2435,90.2515,90.1765,90.1945
2026-01-10 05:41:00,90.1915,90.2015,90.1875,90.1965
2026-01-10 05:42:00,90.1995,90.2385,90.1855,90.2315
2026-01-10 05:43:00,90.2325,90.2545,90.2225,90.2545
2026-01-10 05:44:00,90.2555,90.2575,90.2285,90.2285
2026-01-10 05:45:00,90.2295,90.2485,90.2235,90.2445
2026-01-10 05:46:00,90.2465,90.2735,90.2345,90.2355
2026-01-10 05:47:00,90.2335,90.2465,90.2225,90.2405
2026-01-10 05:48:00,90.2425,90.2425,90.2255,90.2345
2026-01-10 05:49:00,90.2355,90.2375,90.2175,90.2325
2026-01-10 05:50:00,90.2355,90.2355,90.1995,90.2015
2026-01-10 05:51:00,90.2025,90.2135,90.1885,90.1985
2026-01-10 05:52:00,90.1995,90.2155,90.1955,90.2105
2026-01-10 05:53:00,90.2125,90.2315,90.2105,90.2185
2026-01-10 05:54:00,90.2165,90.2415,90.2145,90.2335
2026-01-10 05:55:00,90.2305,90.2505,90.2185,90.2375
2026-01-10 05:56:00,90.2355,90.2425,90.2175,90.2365
2026-01-10 05:57:00,90.2355,90.2355,90.1945,90.1975
2026-01-10 05:58:00,90.1995,90.2255,90.1905,90.2235
2026-01-10 05:59:00,90.2225,90.2305,90.1995,90.2055
2026-01-10 06:00:00,90.2045,90.2435,90.2005,90.2435
2026-01-10 06:01:00,90.2425,90.2425,90.2165,90.2345
2026-01-10 06:02:00,90.2355,90.2435,90.2095,90.2335
2026-01-10 06:03:00,90.2355,90.2695,90.2235,90.2695
2026-01-10 06:04:00,90.2705,90.2925,90.2675,90.2885
2026-01-10 06:05:00,90.2865,90.2965,90.2615,90.2665
2026-01-10 06:06:00,90.2635,90.2805,90.2475,90.2675
2026-01-10 06:07:00,90.2685,90.2745,90.2395,90.2395
2026-01-10 06:08:00,90.2385,90.2685,90.2325,90.2565
2026-01-10 06:09:00,90.2595,90.2955,90.2505,90.2945
2026-01-10 06:10:00,90.2935,90.3105,90.2715,90.2965
2026-01-10 06:11:00,90.2975,90.3075,90.2805,90.2975
2026-01-10 06:12:00,90.2985,90.3035,90.2665,90.2755
2026-01-10 06:13:00,90.2735,90.2895,90.2575,90.2845
2026-01-10 06:14:00,90.2825,90.2855,90.2495,90.2565
2026-01-10 06:15:00,90.2545,90.2785,90.2425,90.2745
2026-01-10 06:16:00,90.2765,90.2955,90.2765,90.2915
2026-01-10 06:17:00,90.2895,90.2895,90.2535,90.2615
2026-01-10 06:18:00,90.2605,90.2765,90.2345,90.2455
2026-01-10 06:19:00,90.2445,90.2625,90.2275,90.2595
2026-01-10 06:20:00,90.2605,90.2885,90.2555,90.2885
2026-01-10 06:21:00,90.2895,90.2995,90.2655,90.2735
2026-01-10 06:22:00,90.2745,90.2805,90.2575,90.2595
2026-01-10 06:23:00,90.2575,90.2775,90.2495,90.2765
2026-01-10 06:24:00,90.2755,90.2805,90.2565,90.2615
2026-01-10 06:25:00,90.2645,90.3035,90.2615,90.2825
2026-01-10 06:26:00,90.2845,90.3055,90.2785,90.3055
2026-01-10 06:27:00,90.3045,90.3235,90.2935,90.3195
2026-01-10 06:28:00,90.3205,90.3605,90.3065,90.3195
2026-01-10 06:29:00,90.3175,90.3495,90.3105,90.3395
2026-01-10 06:30:00,90.3385,90.3635,90.3385,90.3495
2026-01-10 06:31:00,90.3515,90.3595,90.3365,90.3505
2026-01-10 06:32:00,90.3485,90.3725,90.3465,90.3665
2026-01-10 06:33:00,90.3645,90.4065,90.3635,90.3935
2026-01-10 06:34:00,90.3915,90.4195,90.3735,90.3775
2026-01-10 06:35:00,90.3795,90.4335,90.3785,90.4155
2026-01-10 06:36:00,90.4165,90.4245,90.3875,90.3885
2026-01-10 06:37:00,90.3855,90.3935,90.3675,90.3745
2026-01-10 06:38:00,90.3755,90.3875,90.3555,90.3665
2026-01-10 06:39:00,90.3675,90.3855,90.3645,90.3705
2026-01-10 06:40:00,90.3695,90.3695,90.3425,90.3535
2026-01-10 06:41:00,90.3505,90.3755,90.3465,90.3595
2026-01-10 06:42:00,90.3625,90.4115,90.3605,90.4105
2026-01-10 06:43:00,90.4095,90.4245,90.3875,90.4205
2026-01-10 06:44:00,90.4185,90.4525,90.4185,90.4505
2026-01-10 06:45:00,90.4495,90.4745,90.4485,90.4705
2026-01-10 06:46:00,90.4695,90.4965,90.4665,90.4805
2026-01-10 06:47:00,90.4785,90.4785,90.4255,90.4365
2026-01-10 06:48:00,90.4345,90.4695,90.4225,90.4675
2026-01-10 06:49:00,90.4655,90.4685,90.4535,90.4615
2026-01-10 06:50:00,90.4595,90.4735,90.4275,90.4315
2026-01-10 06:51:00,90.4325,90.4615,90.4315,90.4605
2026-01-10 06:52:00,90.4615,90.4875,90.4565,90.4585
2026-01-10 06:53:00,90.4605,90.4755,90.4325,90.4435
