time,open,high,low,close
2026-03-20 15:09:00,2710.3715,2720.6155,2708.3265,2719.3565
2026-03-20 15:10:00,2719.2955,2722.0125,2716.6455,2718.8305
2026-03-20 15:11:00,2718.9005,2721.0575,2717.6635,2718.9445
2026-03-20 15:12:00,2719.7895,2719.9025,2712.9675,2717.0925
2026-03-20 15:13:00,2717.2985,2719.5625,2713.4915,2717.4635
2026-03-20 15:14:00,2717.2505,2725.6005,2717.0285,2723.5995
2026-03-20 15:15:00,2724.4445,2727.0455,2716.2315,2719.8995
2026-03-20 15:16:00,2719.7445,2724.5105,2716.5785,2720.4125
2026-03-20 15:17:00,2720.4095,2720.4095,2711.2105,2717.9415
2026-03-20 15:18:00,2718.3535,2718.6285,2705.3785,2705.6105
2026-03-20 15:19:00,2706.1535,2710.5625,2704.6535,2710.5605
2026-03-20 15:20:00,2710.5585,2720.5105,2709.3755,2717.2615
2026-03-20 15:21:00,2717.2625,2726.3475,2716.6935,2725.6335
2026-03-20 15:22:00,2725.6385,2726.0885,2721.8275,2721.8275
2026-03-20 15:23:00,2721.7565,2722.0485,2708.8295,2714.0495
2026-03-20 15:24:00,2713.9185,2721.6395,2712.7455,2719.2185
2026-03-20 15:25:00,2719.2155,2719.4095,2712.6255,2717.5425
2026-03-20 15:26:00,2717.5395,2728.1975,2717.3345,2727.3175
2026-03-20 15:27:00,2726.1985,2727.9845,2719.5365,2720.4665
2026-03-20 15:28:00,2720.4105,2727.5095,2715.5915,2716.5175
2026-03-20 15:29:00,2716.5155,2717.4035,2704.3165,2704.4795
2026-03-20 15:30:00,2704.4815,2709.9525,2704.3125,2706.6525
2026-03-20 15:31:00,2706.6475,2706.8525,2702.7265,2706.4905
2026-03-20 15:32:00,2706.4145,2713.8125,2705.6245,2706.2115
2026-03-20 15:33:00,2706.0375,2706.0425,2696.3985,2696.4025
2026-03-20 15:34:00,2696.6265,2699.9595,2691.8785,2692.0375
2026-03-20 15:35:00,2691.9245,2693.6415,2687.7175,2691.8665
2026-03-20 15:36:00,2691.8695,2700.3955,2688.2925,2700.1155
2026-03-20 15:37:00,2700.1205,2700.8855,2692.2625,2692.6675
2026-03-20 15:38:00,2692.6705,2698.8215,2691.1195,2696.2835
2026-03-20 15:39:00,2696.2785,2715.8995,2694.4185,2715.8995
2026-03-20 15:40:00,2715.6905,2717.8755,2713.2685,2716.0415
2026-03-20 15:41:00,2716.0385,2716.6985,2707.3225,2707.3225
2026-03-20 15:42:00,2706.1885,2707.3315,2695.1435,2696.6195
2026-03-20 15:43:00,2696.6205,2704.4635,2694.8825,2701.0555
2026-03-20 15:44:00,2701.0545,2701.0545,2694.0645,2694.6565
2026-03-20 15:45:00,2694.6585,2694.6585,2690.3185,2690.3555
2026-03-20 15:46:00,2691.2085,2701.0365,2691.1415,2697.8125
2026-03-20 15:47:00,2697.8745,2704.9625,2695.4495,2696.1925
2026-03-20 15:48:00,2696.3305,2703.1015,2690.4505,2692.3225
2026-03-20 15:49:00,2692.3235,2695.9005,2686.3105,2690.3025
2026-03-20 15:50:00,2690.3075,2700.9335,2689.0195,2696.5655
2026-03-20 15:51:00,2696.5595,2702.6065,2691.0935,2702.3655
2026-03-20 15:52:00,2702.3695,2707.1065,2699.7285,2700.6135
2026-03-20 15:53:00,2700.8125,2707.0035,2699.1685,2702.3775
2026-03-20 15:54:00,2702.2645,2702.2645,2698.6585,2699.3455
2026-03-20 15:55:00,2699.3475,2699.3475,2685.5195,2688.2775
2026-03-20 15:56:00,2688.6175,2692.8615,2682.4505,2686.6305
2026-03-20 15:57:00,2686.8255,2691.4125,2684.1865,2691.4125
2026-03-20 15:58:00,2691.2975,2695.1505,2689.8585,2694.8645
2026-03-20 15:59:00,2694.8665,2699.6055,2692.7045,2699.0925
2026-03-20 16:00:00,2699.3805,2703.4285,2698.3025,2701.7025
2026-03-20 16:01:00,2701.7065,2708.2705,2698.3025,2707.9325
2026-03-20 16:02:00,2708.2405,2713.3385,2707.3335,2709.8545
2026-03-20 16:03:00,2709.8505,2711.1765,2704.0165,2705.1145
2026-03-20 16:04:00,2705.1105,2709.5965,2703.2525,2706.8285
2026-03-20 16:05:00,2706.7735,2706.8605,2703.0795,2704.7455
2026-03-20 16:06:00,2704.2535,2715.7595,2704.2535,2709.6185
2026-03-20 16:07:00,2709.5595,2719.4495,2708.2445,2718.9585
2026-03-20 16:08:00,2719.0165,2719.0165,2713.1665,2718.7765
2026-03-20 16:09:00,2718.7725,2721.0115,2713.5245,2716.4215
2026-03-20 16:10:00,2718.7655,2718.7665,2711.8985,2711.9035
2026-03-20 16:11:00,2711.9075,2712.6255,2706.0345,2706.2685
2026-03-20 16:12:00,2706.2655,2707.3195,2701.6955,2701.7645
2026-03-20 16:13:00,2701.9915,2705.5525,2698.6665,2698.6665
2026-03-20 16:14:00,2698.8745,2702.4705,2689.9085,2691.3595
2026-03-20 16:15:00,2691.3585,2692.7205,2678.7345,2678.8685
2026-03-20 16:16:00,2677.9695,2691.6295,2676.1245,2691.3995
2026-03-20 16:17:00,2691.3315,2701.1895,2688.8995,2699.6465
2026-03-20 16:18:00,2699.5775,2705.1385,2699.5775,2701.5605
2026-03-20 16:19:00,2701.4285,2707.3065,2701.3565,2704.8865
2026-03-20 16:20:00,2704.7355,2708.9205,2701.7615,2704.9245
2026-03-20 16:21:00,2704.9215,2710.2565,2704.2995,2705.1705
